date,sentiment_lex
2011-06-07,-0.342
2011-06-14,0.6625
2011-06-20,0.8837
2011-07-07,0.6307
2011-07-13,0.9611
2011-07-19,0.935
2011-07-20,0.7698
2011-07-20,0.8861
2011-08-01,0.9062
2011-08-09,0.5071
2011-08-09,0.5541
2011-08-24,0.9532
2011-08-25,0.658
2011-08-25,0.7705
2011-08-25,0.8826
2011-08-26,0.0314
2011-09-19,0.8961
2011-09-26,0.341
2011-09-26,0.6648
2011-09-26,0.6948
2011-09-26,0.8667
2011-10-04,0.5607
2011-10-04,0.5585
2011-10-04,-0.6151
2011-10-04,0.2005
2011-10-04,0.9337
2011-10-04,0.9461
2011-10-05,-0.0153
2011-10-10,0.0211
2011-10-13,0.8229
2011-10-14,0.9343
2011-10-18,0.7079
2011-10-18,0.9156
2011-10-18,0.8714
2011-10-18,0.8641
2011-10-18,0.2822
2011-10-18,0.0803
2011-10-19,0.8213
2011-10-19,0.9321
2011-10-21,0.9114
2011-10-31,0.9383
2011-11-10,0.2912
2011-11-10,0.3949
2011-11-10,0.8111
2011-11-14,-0.5542
2011-12-13,0.8537
2011-12-20,0.9584
2011-12-23,0.4385
2012-01-24,0.5839
2012-01-24,0.4178
2012-01-25,0.8297
2012-01-25,0.7348
2012-01-25,0.7612
2012-01-25,0.9013
2012-01-27,0.8541
2012-01-30,0.2698
2012-02-06,0.3773
2012-02-09,0.5013
2012-02-13,0.8722
2012-02-15,0.7995
2012-02-15,0.5311
2012-02-15,0.9007
2012-02-29,0.8828
2012-03-07,0.9477
2012-03-07,0.6351
2012-03-13,0.7155
2012-03-14,0.9499
2012-03-19,0.9695
2012-03-19,0.9553
2012-03-19,0.753
2012-03-19,0.9183
2012-03-23,0.4732
2012-03-26,0.7245
2012-03-30,0.8401
2012-04-02,0.9716
2012-04-03,0.9336
2012-04-03,0.6862
2012-04-13,-0.7423
2012-04-16,0.8599
2012-04-19,0.9049
2012-04-24,0.8393
2012-04-24,0.8993
2012-04-24,0.8175
2012-04-24,0.6499
2012-04-26,0.7762
2012-05-17,0.8915
2012-05-21,0.9035
2012-06-11,0.6778
2012-06-11,0.7574
2012-07-24,0.3637
2012-07-25,0.9096
2012-07-30,0.9401
2012-07-30,0.9347
2012-07-31,0.8945
2012-07-31,0.9594
2012-08-27,0.8098
2012-08-28,0.9522
2012-09-07,0.8743
2012-09-14,0.7591
2012-09-24,0.2112
2012-10-19,0.9276
2012-10-25,0.7872
2012-10-26,0.9422
2012-10-31,0.9629
2012-11-02,0.9153
2012-11-08,0.8552
2012-11-09,0.8628
2012-11-16,0.44
2012-11-19,0.8874
2012-11-26,0.9549
2012-12-05,0.898
2012-12-06,0.5091
2012-12-07,0.9886
2012-12-11,0.9763
2012-12-14,0.9462
2012-12-14,0.5404
2012-12-17,0.8854
2012-12-18,0.9202
2012-12-31,0.7182
2013-01-02,0.9675
2013-01-04,0.6423
2013-01-14,-0.1632
2013-01-15,0.4591
2013-01-16,0.649
2013-01-23,0.8605
2013-01-23,0.4337
2013-01-24,0.9379
2013-02-05,0.6728
2013-02-05,0.7738
2013-02-06,0.9635
2013-02-07,0.9507
2013-02-26,0.9553
2013-02-26,-0.2201
2013-03-01,0.9403
2013-03-11,0.7367
2013-03-14,0.6338
2013-03-15,0.8963
2013-03-25,0.9553
2013-03-27,0.4673
2013-04-05,0.8652
2013-04-17,-0.3116
2013-04-17,0.4921
2013-04-23,0.8986
2013-04-23,0.7189
2013-04-29,0.9756
2013-05-14,0.3134
2013-05-15,0.9792
2013-05-22,0.6636
2013-06-24,0.981
2013-07-17,0.9685
2013-07-23,0.6095
2013-08-12,0.8338
2013-08-13,0.6221
2013-08-22,0.6712
2013-09-23,0.2134
2013-09-23,0.1391
2013-09-23,0.7234
2013-10-08,0.6627
2013-10-22,0.9067
2013-10-28,0.3852
2013-10-28,0.1422
2013-10-29,0.8595
2013-10-29,-0.3829
2013-12-13,0.8637
2013-12-23,0.9574
2014-01-02,0.5746
2014-01-06,0.8405
2014-01-27,-0.5534
2014-01-27,0.7661
2014-01-27,0.1422
2014-01-27,0.798
2014-01-28,0.9083
2014-01-30,0.8731
2014-02-06,0.9086
2014-02-07,0.6223
2014-02-11,0.3328
2014-03-24,0.1983
2014-04-23,0.6382
2014-04-23,0.1422
2014-04-24,0.5555
2014-06-23,0.8923
2014-07-15,0.7825
2014-07-22,0.1422
2014-07-23,0.7928
2014-08-18,0.7904
2014-09-03,0.8939
2014-09-09,0.199
2014-09-09,0.8173
2014-09-15,0.9368
2014-09-16,0.7007
2014-09-22,0.7792
2014-09-25,0.0382
2014-09-26,0.7887
2014-10-01,0.8281
2014-10-09,0.7248
2014-10-20,0.2355
2014-10-20,0.1422
2014-10-21,0.6824
2014-12-01,-0.0699
2015-01-13,0.7275
2015-01-15,0.3631
2015-01-27,0.7537
2015-01-27,0.1422
2015-01-28,0.3428
2015-02-11,0.7775
2015-02-23,0.2394
2015-03-30,0.4441
2015-04-27,0.1422
2015-05-14,0.7934
2015-05-20,0.4759
2015-06-11,-0.4205
2015-06-16,0.6517
2015-06-22,0.4391
2015-06-24,0.7657
2015-07-09,0.8573
2015-07-20,0.716
2015-07-21,0.406
2015-07-21,0.1422
2015-07-22,0.6272
2015-08-04,0.639
2015-08-10,0.8139
2015-08-11,0.8326
2015-08-21,-0.0342
2015-08-24,-0.6327
2015-08-25,0.7757
2015-08-27,0.3502
2015-09-14,0.9502
2015-10-23,0.3416
2015-11-10,0.6945
2015-11-11,0.8831
2015-11-18,0.8492
2015-11-25,0.2362
2015-12-14,-0.6193
2016-01-05,0.6557
2016-01-22,0.5079
2016-01-27,0.0865
2016-03-15,0.6643
2016-03-22,0.3339
2016-04-26,-0.0884
2016-04-28,0.2129
2016-05-12,0.2568
2016-05-16,0.4691
2016-05-31,0.4657
2016-06-17,0.9303
2016-07-26,0.1504
2016-07-26,0.1422
2016-07-27,0.5606
2016-08-03,0.7843
2016-09-12,0.3469
2016-09-13,0.7844
2016-09-14,0.8722
2016-09-14,0.6132
2016-09-15,0.9523
2016-09-23,0.7919
2016-09-29,0.7591
2016-10-05,0.2635
2016-10-25,-0.0877
2016-11-09,0.9143
2016-11-10,0.4644
2016-11-14,0.1476
2016-12-13,0.7396
2017-01-09,0.5577
2017-01-20,0.9522
2017-01-23,-0.383
2017-01-31,0.636
2017-02-13,0.9435
2017-03-27,-0.0425
2017-04-10,0.8021
2017-05-02,0.3809
2017-05-08,0.8206
2017-05-17,0.8029
2017-06-09,0.7471
2017-06-12,-0.0268
2017-06-12,0.4107
2017-07-28,0.5309
2017-08-01,0.8881
2017-08-01,0.1422
2017-08-14,0.8108
2017-09-05,0.8311
2017-09-08,0.4078
2017-09-20,0.5766
2017-09-20,0.5846
2017-09-22,0.4115
2017-09-22,0.0794
2017-09-25,0.3245
2017-10-16,-0.1497
2017-10-31,0.1184
2017-11-02,0.4569
2017-11-02,0.1422
2017-11-06,0.6443
2017-11-08,0.3122
2017-11-08,0.8218
2017-11-14,0.267
2017-11-15,0.7537
2017-11-16,0.279
2017-11-17,0.6129
2017-11-17,0.3131
2017-11-21,0.4285
2017-11-27,0.6963
2017-11-29,0.7072
2017-11-30,0.75
2017-12-04,0.6772
2017-12-06,0.0842
2017-12-06,0.2867
2017-12-07,0.5692
2017-12-08,-0.0161
2017-12-13,0.7095
2017-12-19,0.1307
2017-12-26,0.0158
2017-12-26,-0.1861
2018-01-02,0.1785
2018-01-02,0.4675
2018-01-04,-0.1017
2018-01-04,0.5206
2018-01-04,-0.1524
2018-01-08,0.4965
2018-01-10,-0.014
2018-01-10,0.8687
2018-01-16,0.5619
2018-01-17,0.8379
2018-01-17,0.631
2018-01-19,0.6491
2018-01-19,0.4664
2018-01-23,0.1021
2018-01-23,0.4148
2018-01-23,0.5332
2018-01-24,0.5348
2018-01-24,0.4571
2018-01-25,0.1862
2018-01-26,0.6731
2018-01-29,0.5948
2018-01-30,0.6852
2018-01-30,0.4627
2018-01-31,0.6592
2018-02-01,0.5504
2018-02-01,-0.0706
2018-02-01,0.0629
2018-02-02,-0.5845
2018-02-02,0.7387
2018-02-05,0.5409
2018-02-05,0.5933
2018-02-06,0.665
2018-02-06,0.3769
2018-02-07,0.7646
2018-02-08,-0.7281
2018-02-08,0.5111
2018-02-12,0.2826
2018-02-15,0.5814
2018-02-16,0.8681
2018-02-21,0.4652
2018-02-22,-0.0821
2018-02-26,0.2564
2018-02-26,0.0307
2018-02-27,-0.0714
2018-03-01,0.8468
2018-03-02,0.2425
2018-03-05,0.5908
2018-03-06,0.5247
2018-03-12,0.3486
2018-03-12,0.1399
2018-03-14,0.6054
2018-03-15,0.184
2018-03-16,0.0616
2018-03-19,0.5078
2018-03-21,0.4395
2018-03-22,-0.0307
2018-03-22,0.7133
2018-03-23,0.673
2018-03-23,-0.0989
2018-03-23,0.2789
2018-03-27,0.7615
2018-03-27,0.598
2018-03-28,0.0927
2018-03-29,0.1885
2018-04-02,0.4287
2018-04-03,0.4916
2018-04-04,0.403
2018-04-05,0.1078
2018-04-05,0.3878
2018-04-05,0.4711
2018-04-09,0.5585
2018-04-09,0.668
2018-04-10,0.2636
2018-04-10,-0.2327
2018-04-11,0.6382
2018-04-11,0.6645
2018-04-12,0.062
2018-04-13,0.6163
2018-04-13,0.1645
2018-04-13,0.825
2018-04-16,0.5763
2018-04-19,0.3071
2018-04-20,0.373
2018-04-23,0.8926
2018-04-24,-0.2289
2018-04-26,-0.495
2018-04-27,0.5384
2018-04-30,0.6452
2018-04-30,0.7943
2018-04-30,0.3392
2018-05-01,0.1409
2018-05-01,0.7508
2018-05-01,0.1422
2018-05-01,0.6957
2018-05-04,0.811
2018-05-04,0.607
2018-05-07,0.6351
2018-05-07,0.7864
2018-05-09,0.4269
2018-05-10,0.7606
2018-05-14,0.4479
2018-05-18,0.1452
2018-05-22,0.4061
2018-05-23,0.5288
2018-05-24,0.5188
2018-05-30,0.6735
2018-06-04,0.8025
2018-06-08,0.6828
2018-06-08,-0.2465
2018-06-19,0.3847
2018-06-26,0.5737
2018-06-26,0.5576
2018-07-10,0.4208
2018-07-12,0.2665
2018-07-19,0.1918
2018-09-04,0.5635
2018-09-07,0.3614
2018-09-07,0.696
2018-09-07,0.5213
2018-09-10,0.7086
2018-09-12,0.5577
2018-09-13,0.4191
2018-09-14,0.5664
2018-09-17,0.3887
2018-09-24,0.7054
2018-09-27,0.1845
2018-09-28,-0.3512
2018-10-01,0.7458
2018-10-05,0.713
2018-10-08,0.521
2018-10-10,0.6271
2018-10-10,-0.1103
2018-10-18,0.6507
2018-10-31,0.3434
2018-11-09,-0.3314
2018-11-12,0.0328
2018-11-12,0.7531
2018-11-13,-0.1086
2018-11-19,-0.2731
2018-11-20,0.1729
2018-11-21,0.6215
2018-11-21,0.8778
2018-11-23,0.6052
2018-11-26,0.5994
2018-11-29,-0.6761
2018-12-04,0.7889
2018-12-06,-0.2864
2018-12-07,0.1136
2018-12-13,0.4828
2018-12-13,-0.1478
2018-12-14,-0.1969
2018-12-14,-0.2792
2018-12-24,-0.5961
