date,sentiment_lex
2011-06-22,0.8598
2011-07-12,0.6404
2011-09-16,0.6456
2011-09-20,0.7383
2011-11-08,0.6133
2011-11-08,0.5534
2011-11-09,-0.8464
2011-11-09,0.9247
2011-12-15,0.53
2011-12-16,0.9601
2012-03-05,0.7278
2012-03-19,0.9253
2012-03-19,0.5611
2012-03-20,0.8916
2012-06-19,0.1408
2012-06-19,0.5737
2012-06-20,0.9391
2012-07-26,0.8897
2012-08-24,-0.8424
2012-09-20,0.9669
2012-12-13,-0.4896
2012-12-13,0.8551
2013-03-19,0.5737
2013-06-18,0.9493
2013-06-19,0.9779
2014-06-17,0.8066
2014-09-16,0.1621
2014-09-17,0.5628
2014-12-11,0.8665
2014-12-12,0.8117
2015-01-14,0.923
2015-03-17,0.7055
2015-06-16,0.9226
2015-08-25,0.763
2015-09-17,0.9336
2015-09-17,-0.0112
2015-09-18,0.8333
2015-10-06,0.2873
2015-10-07,-0.1669
2015-12-08,0.737
2015-12-10,0.0856
2015-12-10,-0.0112
2016-03-17,0.2999
2016-03-17,-0.0112
2016-06-21,-0.109
2016-09-20,0.7331
2016-09-21,0.546
2016-09-21,0.8617
2016-12-15,-0.0112
2017-03-16,0.8699
2017-03-16,-0.0112
2017-03-17,0.7649
2017-03-27,0.4704
2017-04-13,0.1889
2017-06-12,0.7879
2017-06-20,0.7973
2017-06-20,-0.0112
2017-06-21,0.0977
2017-09-19,0.2712
2017-09-20,0.6675
2017-10-16,0.1749
2017-10-19,0.3019
2017-12-14,0.5911
2017-12-14,-0.0112
2017-12-15,0.4976
2018-01-22,0.0166
2018-03-12,0.4513
2018-03-15,0.6469
2018-03-15,0.8321
2018-03-15,-0.0112
2018-03-16,0.4296
2018-06-14,0.926
2018-06-15,0.3483
2018-09-14,0.5003
2018-09-20,0.712
2018-10-15,0.0916
2018-12-13,0.6632
2018-12-13,-0.0044
2018-12-14,0.0806
