date,sentiment_lex
2011-05-02,0.2115
2011-05-12,-0.0413
2011-05-23,0.5957
2011-06-20,0.7675
2011-06-27,0.9759
2011-06-27,0.7424
2011-07-13,0.8976
2011-07-20,0.8434
2011-07-25,0.4764
2011-07-26,0.968
2011-07-26,0.0062
2011-07-27,0.6257
2011-07-27,0.8583
2011-08-01,0.498
2011-08-23,0.5726
2011-08-31,0.6425
2011-09-15,0.8982
2011-09-27,0.8482
2011-09-28,0.9178
2011-09-28,0.8538
2011-09-28,0.8184
2011-10-19,0.8543
2011-10-25,0.9207
2011-10-25,0.9474
2011-10-25,-0.1086
2011-10-26,0.7373
2011-10-26,-0.7992
2011-11-03,0.7997
2011-11-14,0.8946
2011-11-18,-0.2472
2011-11-28,0.924
2011-12-01,0.8461
2011-12-12,-0.3158
2011-12-21,0.4518
2011-12-29,0.9503
2012-01-17,0.9521
2012-01-18,0.2248
2012-01-31,0.7359
2012-01-31,0.8927
2012-01-31,0.2816
2012-02-01,-0.7076
2012-02-01,0.1493
2012-02-14,0.5118
2012-03-20,0.9187
2012-03-29,0.8345
2012-04-02,0.4772
2012-04-04,-0.5701
2012-04-10,0.9269
2012-04-26,0.378
2012-04-26,0.9817
2012-04-26,0.5539
2012-04-27,0.9381
2012-04-27,0.4066
2012-05-02,0.8508
2012-05-15,0.8942
2012-05-29,0.9599
2012-06-13,0.2166
2012-06-13,0.8999
2012-07-25,0.9616
2012-07-25,0.656
2012-07-25,0.9022
2012-07-26,0.9092
2012-07-26,0.3526
2012-07-26,0.6179
2012-07-27,0.6812
2012-07-27,0.8529
2012-08-24,0.9445
2012-10-18,-0.0267
2012-10-24,0.226
2012-10-25,0.9251
2012-10-25,0.9195
2012-10-26,0.8035
2012-11-02,0.8028
2012-11-07,0.7698
2012-11-26,0.9679
2012-11-26,0.9137
2012-11-28,0.7512
2013-01-07,0.924
2013-01-25,0.9549
2013-01-29,0.9807
2013-01-29,0.3983
2013-01-30,0.9546
2013-02-13,0.802
2013-02-13,0.588
2013-02-13,0.9795
2013-02-14,0.8878
2013-03-12,0.8868
2013-04-18,0.3768
2013-04-25,0.9836
2013-04-25,0.384
2013-04-26,0.9732
2013-05-07,0.9334
2013-05-07,0.588
2013-05-28,0.9302
2013-10-24,0.1503
2013-10-25,0.8415
2013-10-28,0.7745
2013-11-06,-0.6335
2013-11-06,0.0983
2013-11-13,0.7673
2013-11-14,-0.7093
2013-12-13,0.665
2014-01-06,0.2591
2014-01-30,0.5462
2014-01-31,0.5551
2014-02-03,-0.147
2014-02-12,0.8244
2014-03-13,0.6205
2014-03-18,0.5768
2014-04-02,0.8195
2014-04-24,0.8882
2014-04-24,0.3094
2014-05-06,0.1701
2014-05-07,-0.5947
2014-05-20,0.0772
2014-06-05,0.1928
2014-06-10,0.5353
2014-06-18,-0.0066
2014-07-08,-0.0618
2014-07-10,0.663
2014-07-24,0.6968
2014-07-24,0.1289
2014-07-25,-0.1608
2014-07-30,-0.1581
2014-08-05,0.7374
2014-09-10,0.8376
2014-09-30,0.6461
2014-10-23,0.7923
2014-11-05,-0.0135
2014-11-05,0.016
2014-11-06,0.5897
2014-11-14,0.6532
2015-01-13,0.2933
2015-01-21,0.893
2015-01-22,0.8929
2015-01-29,0.3404
2015-01-29,0.1843
2015-01-30,0.9118
2015-02-11,0.2479
2015-03-30,0.9049
2015-04-23,0.5667
2015-04-23,0.1843
2015-04-24,0.9329
2015-05-06,-0.0135
2015-05-07,0.7126
2015-05-07,0.706
2015-05-21,0.394
2015-07-16,0.527
2015-07-23,0.908
2015-07-23,0.1843
2015-07-24,0.9436
2015-07-29,-0.0135
2015-07-30,0.5752
2015-08-26,-0.3855
2015-08-26,0.249
2015-08-27,0.7986
2015-08-28,0.3698
2015-10-22,0.9441
2015-10-22,0.1843
2015-10-26,0.0407
2015-11-04,0.0649
2015-11-04,0.899
2015-12-08,0.7943
2015-12-10,0.7655
2015-12-11,0.4935
2015-12-22,0.5063
2016-01-20,-0.0777
2016-01-28,0.9115
2016-01-29,0.6806
2016-02-01,0.7171
2016-02-10,0.0649
2016-02-10,0.016
2016-02-29,0.8816
2016-03-07,0.7104
2016-03-08,0.4988
2016-03-11,0.7579
2016-03-17,0.8443
2016-04-27,0.9571
2016-04-28,0.7784
2016-04-28,0.1843
2016-04-28,0.3086
2016-05-03,0.1733
2016-05-04,-0.0135
2016-05-04,0.016
2016-05-10,0.5725
2016-06-01,0.6628
2016-06-06,0.7072
2016-06-15,0.0729
2016-07-13,0.6026
2016-07-25,0.4554
2016-07-26,-0.2837
2016-07-27,-0.1845
2016-07-28,0.4335
2016-07-28,0.8128
2016-07-29,0.2268
2016-08-01,-0.3509
2016-08-22,0.3134
2016-08-25,0.6216
2016-09-16,0.5604
2016-09-21,0.745
2016-09-27,-0.0287
2016-09-30,0.887
2016-10-05,-0.2157
2016-10-20,0.5487
2016-10-24,0.2376
2016-10-27,0.4859
2016-10-28,0.7884
2016-11-02,-0.0135
2016-11-02,0.016
2016-11-03,0.5618
2016-11-04,0.6081
2016-11-09,0.5502
2016-11-10,0.9473
2017-01-27,-0.1564
2017-02-01,0.5205
2017-02-02,0.1165
2017-02-03,0.6948
2017-02-03,0.587
2017-02-03,-0.1759
2017-02-09,0.7576
2017-03-27,0.695
2017-04-04,0.0237
2017-04-05,0.923
2017-04-10,0.5318
2017-04-10,0.6651
2017-04-27,0.9182
2017-04-27,0.1843
2017-05-10,0.0047
2017-05-10,0.4536
2017-05-12,0.7697
2017-05-17,0.4186
2017-06-12,0.3087
2017-06-16,0.7188
2017-06-16,0.7854
2017-06-19,0.543
2017-06-29,0.7498
2017-07-11,0.769
2017-07-17,0.2645
2017-07-17,0.7419
2017-07-26,-0.1942
2017-07-27,0.7882
2017-08-14,0.8121
2017-08-14,0.6039
2017-08-23,0.6614
2017-08-28,0.4704
2017-09-06,0.6812
2017-09-11,0.7035
2017-09-20,0.5809
