date,sentiment_lex
2011-05-16,0.611
2011-05-26,0.7054
2011-06-14,0.8487
2011-06-16,0.4556
2011-06-17,0.7142
2011-06-21,0.8985
2011-06-21,0.4658
2011-06-28,0.7373
2011-07-05,0.7223
2011-07-05,0.7987
2011-07-08,-0.6878
2011-07-14,0.9423
2011-07-14,0.8107
2011-07-14,0.8803
2011-07-14,0.6129
2011-07-15,0.9763
2011-07-15,0.5034
2011-07-19,0.9215
2011-07-21,0.7408
2011-07-21,0.897
2011-07-21,0.9454
2011-07-28,0.8036
2011-07-29,0.9383
2011-08-03,-0.5234
2011-08-04,0.7773
2011-08-09,0.9661
2011-08-15,-0.4289
2011-08-15,0.7782
2011-08-15,0.5392
2011-08-15,0.4089
2011-08-16,0.709
2011-08-17,0.169
2011-10-05,0.6265
2011-10-10,0.8204
2011-10-13,0.9227
2011-10-13,0.3781
2011-10-13,0.889
2011-10-14,0.9255
2011-10-14,0.8204
2011-10-14,0.7186
2011-11-28,0.7203
2012-01-09,-0.5726
2012-01-19,0.7261
2012-01-19,0.9517
2012-01-19,0.2458
2012-01-20,0.5313
2012-01-25,0.9401
2012-02-22,0.8828
2012-03-28,0.2351
2012-04-12,0.795
2012-04-13,0.776
2012-04-24,0.9563
2012-05-02,0.5295
2012-05-16,0.917
2012-07-19,0.4371
2012-07-19,0.9252
2012-07-20,0.9849
2012-07-30,0.7675
2012-08-13,0.5125
2012-08-13,0.5997
2012-09-11,0.9218
2012-09-24,0.978
2012-10-18,0.9223
2012-10-18,0.6591
2012-10-18,0.0816
2013-01-10,0.8043
2013-01-22,0.7735
2013-01-23,0.8971
2013-02-01,0.8584
2013-03-05,0.9203
2013-04-16,0.8344
2013-04-19,0.9351
2013-04-19,0.9002
2013-05-15,0.9304
2013-07-18,0.295
2013-08-22,0.8891
2013-09-20,0.8814
2013-10-17,0.0068
2013-10-18,0.6719
2013-12-31,0.0865
2014-01-14,0.9041
2014-01-21,0.6756
2014-01-30,0.7725
2014-01-31,0.4491
2014-02-20,0.8596
2014-02-26,0.5351
2014-03-26,0.0838
2014-04-03,0.8292
2014-04-16,0.7614
2014-04-17,0.8995
2014-04-23,0.7281
2014-07-17,-0.2201
2014-07-18,0.7662
2014-09-05,0.6571
2014-09-12,-0.0508
2014-10-15,0.6058
2014-12-02,0.6075
2014-12-05,0.5334
2014-12-12,0.0119
2014-12-16,-0.5886
2015-01-08,0.8484
2015-01-29,0.7099
2015-01-30,0.8758
2015-05-21,0.7012
2015-06-19,0.7822
2015-07-10,0.7601
2015-07-14,0.4504
2015-07-16,0.5433
2015-07-16,0.0068
2015-07-17,0.8956
2015-08-10,0.9012
2015-08-11,0.9129
2015-08-24,-0.5068
2015-08-26,0.4819
2015-09-14,-0.7869
2015-10-22,0.9148
2015-10-22,0.7261
2015-10-23,0.8867
2015-11-19,0.4431
2016-02-01,-0.1126
2016-02-01,0.0068
2016-02-03,0.7319
2016-03-23,0.4954
2016-04-19,0.1514
2016-04-21,-0.1863
2016-04-22,-0.1842
2016-04-22,0.395
2016-05-19,0.7957
2016-05-20,0.5339
2016-06-17,0.2521
2016-06-24,0.0336
2016-06-27,0.1599
2016-07-28,0.6756
2016-07-28,0.0068
2016-07-29,0.2183
2016-09-27,0.5426
2016-09-30,0.9206
2016-10-04,0.625
2016-10-05,0.2355
2016-10-21,0.7976
2016-10-27,0.4239
2017-01-27,0.6205
2017-04-05,0.3177
2017-04-17,0.1529
2017-04-27,0.2857
2017-04-27,0.0068
2017-04-28,0.4748
2017-07-24,0.3266
2017-08-04,0.9454
2017-08-14,0.6944
2017-09-25,0.1371
2017-09-27,0.1614
2017-10-05,0.4875
2017-10-23,0.1287
2017-10-26,0.7041
2017-10-26,0.0068
2017-10-27,0.401
2017-10-27,0.599
2017-10-31,0.4782
2017-12-06,0.1159
2018-01-03,0.0947
2018-01-16,0.474
2018-01-17,0.1583
2018-01-30,0.8076
2018-01-30,0.1824
2018-02-01,-0.1022
2018-02-01,-0.1236
2018-02-02,0.0424
2018-02-15,0.3002
2018-02-27,0.7014
2018-03-05,0.3511
2018-03-21,0.2119
2018-03-26,0.9418
2018-03-27,0.5448
2018-04-09,-0.4503
2018-04-10,-0.1738
2018-04-13,-0.0106
2018-04-16,0.0331
2018-04-23,0.6775
2018-04-23,0.0068
2018-04-23,0.8651
2018-04-30,0.6334
2018-05-08,0.0201
2018-05-09,0.665
2018-05-09,0.1852
2018-05-14,0.2928
2018-05-18,-0.0415
2018-06-01,0.7116
2018-06-01,0.7865
2018-06-07,0.0106
2018-06-12,-0.1438
2018-06-19,0.5311
2018-07-09,0.8136
2018-07-10,0.7307
2018-07-13,0.0992
2018-07-23,0.7533
2018-07-23,0.0068
2018-07-24,0.3074
2018-08-27,0.5489
2018-08-30,0.8366
2018-08-31,0.2519
2018-08-31,0.7584
2018-09-04,0.7092
2018-09-04,0.0135
2018-10-01,0.8768
2018-10-05,0.3073
2018-10-16,0.8667
2018-10-26,0.3858
2018-11-05,0.22
2018-11-12,0.5683
2018-11-26,-0.7277
2018-11-27,0.1285
2018-12-10,0.4504
