date,sentiment_lex
2011-05-23,0.8282
2011-06-21,0.7315
2011-07-07,0.6911
2011-07-07,0.1951
2011-07-11,-0.0411
2011-09-13,0.8393
2011-10-12,0.0045
2011-10-13,0.4037
2011-10-13,0.8149
2011-10-13,0.6973
2011-10-13,0.3998
2011-11-30,0.1512
2011-12-06,-0.524
2011-12-13,-0.0452
2012-01-13,0.4339
2012-01-13,0.8653
2012-01-13,-0.4009
2012-01-13,0.9487
2012-01-13,0.8182
2012-03-08,0.8953
2012-03-13,0.1894
2012-03-13,0.3258
2012-04-12,0.9033
2012-04-13,0.761
2012-04-13,0.9832
2012-05-04,-0.469
2012-06-20,0.654
2012-06-26,0.896
2012-07-13,-0.7411
2012-07-13,-0.0099
2012-07-13,0.4881
2012-07-19,0.961
2012-09-13,0.8847
2013-03-14,0.0938
2013-03-15,-0.049
2013-05-21,0.2199
2013-10-11,0.755
2013-11-25,0.208
2013-12-05,0.0605
2014-01-14,0.8871
2014-03-20,0.778
2014-04-11,0.8943
2014-04-11,0.5046
2014-05-05,0.1434
2014-07-02,0.0078
2014-07-15,0.7419
2014-10-14,0.4342
2014-12-09,0.1903
2014-12-10,0.4668
2015-01-14,0.2112
2015-02-24,0.686
2015-02-24,0.7801
2015-02-24,0.86
2015-03-11,0.9143
2015-03-30,0.1926
2015-04-07,0.7144
2015-04-14,0.8172
2015-08-25,0.9113
2015-10-14,0.8823
2015-12-02,0.5455
2016-01-14,0.7047
2016-01-25,0.1781
2016-01-26,0.6262
2016-02-03,-0.1426
2016-02-11,0.4125
2016-02-23,0.7184
2016-04-13,0.9609
2016-04-13,0.1515
2016-04-13,0.26
2016-04-13,0.2461
2016-07-14,0.9204
2016-07-14,0.9451
2016-07-14,0.2461
2016-10-14,0.7937
2016-10-14,0.2461
2017-04-13,0.2461
2017-07-14,0.6518
2017-07-14,0.2461
2018-01-12,0.2492
2018-02-27,0.7411
2018-03-09,0.7536
2018-03-26,0.4591
2018-04-06,0.7413
2018-04-13,0.2407
2018-07-13,0.2461
2018-07-23,0.6752
