date,sentiment_lex
2011-05-10,0.6971
2011-05-10,0.7751
2011-05-19,-0.2997
2011-05-19,0.7904
2011-05-19,0.4896
2011-05-19,0.63
2011-05-19,0.456
2011-05-23,-0.2651
2011-06-01,0.74
2011-06-28,0.5071
2011-07-05,0.8042
2011-07-13,0.629
2011-07-18,0.149
2011-07-21,0.5834
2011-08-04,0.8609
2011-08-04,0.5834
2011-08-05,0.8213
2011-08-08,-0.5259
2011-08-09,0.8772
2011-08-19,0.5458
2011-08-23,0.9107
2011-08-26,0.8716
2011-08-29,0.8764
2011-09-13,0.4127
2011-09-14,0.9889
2011-09-28,0.8868
2011-10-05,0.8443
2011-10-20,0.3691
2011-11-03,0.8069
2011-11-03,0.918
2011-11-03,0.5783
2011-11-17,0.8918
2011-11-21,0.6344
2011-11-28,0.3861
2011-11-30,-0.5104
2011-12-06,0.947
2011-12-22,0.707
2012-01-05,0.8885
2012-01-19,-0.0224
2012-02-09,0.8492
2012-02-09,0.7647
2012-02-10,0.9463
2012-02-10,0.7004
2012-02-16,0.6452
2012-02-16,0.1476
2012-02-16,0.8684
2012-02-16,0.701
2012-03-01,-0.5029
2012-03-08,0.9223
2012-03-21,0.9169
2012-03-30,0.8734
2012-04-04,-0.4165
2012-04-05,0.8182
2012-04-10,0.7087
2012-04-12,0.8162
2012-04-19,0.8876
2012-04-19,0.4691
2012-04-20,0.9432
2012-05-03,0.8937
2012-05-03,0.7055
2012-05-04,0.8844
2012-05-23,-0.5715
2012-05-24,-0.0593
2012-05-30,0.767
2012-06-06,0.1482
2012-06-19,0.8847
2012-07-09,0.683
2012-07-12,-0.6506
2012-08-02,0.774
2012-08-03,0.8266
2012-08-21,0.9256
2012-09-05,0.963
2012-09-11,0.6997
2012-10-11,0.7116
2012-10-22,-0.6947
2012-11-01,0.5941
2012-11-12,0.9614
2012-11-13,0.1282
2013-01-10,0.9474
2013-02-07,0.6797
2013-02-08,0.9747
2013-02-27,0.7367
2013-04-11,-0.122
2013-04-11,-0.7422
2013-04-16,0.8992
2013-04-18,0.4371
2013-04-19,0.9477
2013-04-22,0.5906
2013-05-02,0.4404
2013-05-03,0.9892
2013-05-13,0.922
2013-06-06,0.9808
2013-06-12,0.8009
2013-06-14,0.7759
2013-06-19,0.8721
2013-07-18,0.295
2013-07-19,0.7683
2013-07-19,0.6142
2013-07-19,0.7986
2013-07-29,-0.2984
2013-08-01,0.8336
2013-08-12,0.7561
2013-08-15,-0.0357
2013-08-19,0.773
2013-08-22,0.9601
2013-08-23,0.2466
2013-09-20,0.824
2013-09-24,0.7647
2013-10-15,0.5845
2013-10-24,0.0068
2013-10-29,0.0068
2013-11-15,0.1764
2013-11-20,0.8893
2013-12-06,0.9017
2013-12-18,-0.4067
2013-12-18,0.7937
2014-01-02,0.7463
2014-01-06,0.4944
2014-01-07,-0.2291
2014-01-10,-0.7613
2014-01-16,0.4458
2014-01-23,0.2251
2014-01-24,0.5269
2014-02-06,0.6362
2014-02-06,0.5664
2014-02-07,0.4121
2014-02-19,0.8156
2014-02-25,0.44
2014-02-26,0.8219
2014-03-18,0.8176
2014-03-28,0.8876
2014-04-08,0.4683
2014-04-08,0.5365
2014-04-09,0.8703
2014-04-17,0.5031
2014-04-24,0.4184
2014-04-24,0.2251
2014-05-01,-0.2545
2014-05-01,0.343
2014-05-02,0.8741
2014-07-16,0.1449
2014-07-17,0.0566
2014-07-22,0.9005
2014-07-23,0.9485
2014-07-31,0.6118
2014-07-31,0.0068
2014-08-01,0.827
2014-09-10,0.8089
2014-09-17,0.7987
2014-09-26,0.6195
2014-10-20,0.7077
2014-10-23,0.8013
2014-10-23,0.0068
2014-10-30,0.0068
2014-10-31,0.4216
2014-11-04,0.6199
2014-11-17,0.817
2014-12-16,0.5906
2014-12-18,0.806
2015-01-21,0.4775
2015-01-23,0.7649
2015-01-26,0.8586
2015-02-04,0.1663
2015-02-05,0.5541
2015-02-05,0.0068
2015-02-06,0.9495
2015-02-26,0.601
2015-04-10,0.9426
2015-04-20,0.4201
2015-04-23,0.2621
2015-04-23,0.0068
2015-04-24,0.9389
2015-04-30,0.2166
2015-04-30,0.0068
2015-05-01,0.4865
2015-05-05,0.4919
2015-05-22,0.2189
2015-06-01,0.6128
2015-06-02,0.5866
2015-06-03,0.8787
2015-06-29,0.6143
2015-06-29,0.4624
2015-07-13,0.6079
2015-07-15,0.0741
2015-07-17,0.2212
2015-07-21,0.4512
2015-07-22,0.7984
2015-07-27,-0.4449
2015-07-30,0.0068
2015-07-31,0.3332
2015-10-22,0.793
2015-10-22,0.9297
2015-10-22,0.0068
2015-10-23,-0.269
2015-10-23,0.7126
2015-10-29,0.0068
2016-01-13,-0.4545
2016-01-15,0.4017
2016-01-28,0.8056
2016-01-28,0.0068
2016-01-29,0.5843
2016-02-04,0.7005
2016-02-04,0.0068
2016-02-05,0.7793
2016-02-05,0.7291
2016-02-08,0.9167
2016-03-16,-0.4678
2016-04-21,-0.3055
2016-04-21,-0.5492
2016-04-21,0.8962
2016-04-28,-0.0897
2016-04-28,0.0068
2016-05-02,0.136
2016-06-01,0.3944
2016-06-09,0.8733
2016-06-13,-0.0501
2016-06-13,0.5228
2016-07-19,0.0068
2016-10-20,0.6424
2016-10-20,0.0068
2016-10-21,0.381
2017-01-27,-0.082
2017-04-24,0.6856
2017-04-27,-0.4013
2017-07-20,0.0068
2017-08-22,0.0169
2017-10-05,0.368
2017-10-18,-0.417
2017-10-26,-0.5969
2017-10-27,0.6247
2017-11-02,0.8184
2017-11-29,0.7008
2017-12-04,0.5842
2017-12-05,-0.1858
2017-12-08,-0.2908
2018-01-04,0.3742
2018-01-12,0.1963
2018-01-31,0.4945
2018-02-01,0.598
2018-02-01,0.2039
2018-02-06,0.5423
2018-02-23,0.6457
2018-02-27,0.4535
2018-03-02,0.8465
2018-03-05,0.0294
2018-03-06,0.8142
2018-03-13,0.2369
2018-03-15,0.2716
2018-03-16,0.4865
2018-03-23,0.0132
2018-03-26,0.2183
2018-03-29,0.3304
2018-04-02,0.0485
2018-04-03,0.8933
2018-04-04,-0.0941
2018-04-17,0.7508
2018-04-17,-0.513
2018-04-24,-0.3829
2018-04-26,0.7706
2018-04-27,0.0781
2018-05-07,0.7464
2018-05-07,0.2006
2018-05-08,0.3097
2018-06-01,0.6202
2018-06-04,0.2321
2018-06-18,0.55
2018-06-20,0.6134
2018-06-20,0.0485
2018-06-25,-0.0505
2018-07-12,0.736
2018-07-19,0.8697
2018-07-20,0.5003
2018-07-20,0.6641
2018-07-20,0.3848
2018-07-20,0.1698
2018-08-29,0.2767
2018-09-05,0.3589
2018-09-18,0.2066
2018-09-24,0.5031
2018-10-08,0.707
2018-10-09,0.0101
2018-11-09,0.4163
