date,sentiment_lex
2011-05-02,0.8575
2011-05-25,0.653
2011-06-23,0.7388
2011-07-05,0.8127
2011-07-05,0.8826
2011-07-05,0.4724
2011-07-06,0.2153
2011-07-11,0.8226
2011-07-13,0.9328
2011-07-13,0.8791
2011-07-14,0.923
2011-07-18,0.8233
2011-07-19,0.8646
2011-07-25,0.5813
2011-07-25,0.4378
2011-07-25,-0.1417
2011-07-26,0.9132
2011-07-26,0.9325
2011-08-23,0.5667
2011-08-30,0.9033
2011-09-01,0.7905
2011-09-02,0.6056
2011-09-07,-0.7276
2011-09-07,0.5707
2011-09-15,-0.8472
2011-09-15,0.7161
2011-09-15,-0.4912
2011-09-15,-0.1563
2011-09-16,-0.8213
2011-09-20,0.5285
2011-09-22,0.8766
2011-09-22,0.5372
2011-09-23,-0.5466
2011-09-26,0.7987
2011-09-28,0.7867
2011-09-29,0.3345
2011-09-29,0.2346
2011-09-29,-0.6879
2011-10-03,0.8957
2011-10-07,0.8346
2011-10-10,-0.7471
2011-10-10,-0.2668
2011-10-10,0.8886
2011-10-10,0.725
2011-10-11,-0.4078
2011-10-13,0.6711
2011-10-24,0.8182
2011-10-24,0.6944
2011-10-24,0.1992
2011-10-24,0.2931
2011-10-25,-0.476
2011-10-25,0.9091
2011-10-25,-0.4549
2011-11-21,0.8663
2011-11-22,-0.403
2011-11-25,0.5115
2011-11-28,0.1488
2011-11-29,-0.0924
2011-11-29,0.762
2011-11-30,0.4185
2011-11-30,-0.8438
2011-12-12,0.4442
2011-12-13,0.7489
2011-12-13,0.6051
2011-12-14,0.657
2011-12-20,0.8153
2012-01-04,0.8888
2012-01-06,0.7125
2012-01-09,0.5847
2012-01-09,0.8625
2012-01-13,0.9465
2012-01-19,0.6584
2012-01-19,0.8934
2012-01-20,0.7652
2012-01-23,0.4752
2012-01-23,-0.5711
2012-01-25,0.6358
2012-01-25,0.6111
2012-01-25,0.5834
2012-01-26,0.5588
2012-01-26,0.5794
2012-01-26,0.9279
2012-01-30,0.8876
2012-02-06,0.9248
2012-02-06,0.076
2012-02-08,0.6154
2012-02-13,0.6937
2012-02-14,0.9238
2012-02-21,-0.2439
2012-02-22,0.9382
2012-02-27,0.012
2012-02-27,0.3732
2012-03-06,0.6874
2012-03-07,0.7431
2012-03-14,0.1003
2012-03-21,0.7315
2012-04-23,0.1491
2012-04-23,0.7889
2012-04-23,0.5292
2012-04-23,0.5773
2012-04-23,0.7966
2012-04-24,0.8997
2012-05-03,0.9039
2012-05-11,0.959
2012-05-11,0.8384
2012-05-22,0.9218
2012-05-31,0.1143
2012-06-05,0.9226
2012-06-11,-0.0705
2012-07-03,0.8498
2012-07-05,0.2362
2012-07-05,0.8078
2012-07-06,0.632
2012-07-24,0.0409
2012-07-24,0.5773
2012-07-26,0.2868
2012-08-10,0.3714
2012-08-31,0.8662
2012-09-04,0.6451
2012-09-17,0.548
2012-09-21,0.9242
2012-10-01,0.9182
2012-10-03,0.9524
2012-10-04,0.9458
2012-10-09,0.6164
2012-10-09,0.1942
2012-10-22,0.3705
2012-10-23,0.9027
2012-10-23,-0.4994
2012-10-23,0.4371
2012-10-26,-0.3297
2012-10-31,0.976
2012-10-31,0.5056
2012-11-05,0.6726
2012-11-09,0.8762
2012-12-03,0.7202
2012-12-04,0.8698
2012-12-12,0.4953
2013-01-03,0.8919
2013-01-07,0.7963
2013-01-11,0.9136
2013-01-16,0.9415
2013-01-18,0.957
2013-01-23,0.8956
2013-01-23,0.5834
2013-01-23,0.9458
2013-01-24,-0.0015
2013-01-24,0.9727
2013-01-25,0.91
2013-01-29,0.6837
2013-02-01,0.8878
2013-02-04,0.8929
2013-02-06,0.9607
2013-02-11,0.8959
2013-02-12,0.971
2013-02-22,0.856
2013-03-11,0.9112
2013-03-26,0.9214
2013-04-03,0.8763
2013-04-03,0.727
2013-04-10,0.8837
2013-04-11,0.8551
2013-04-11,0.7247
2013-04-15,0.9589
2013-04-19,0.9177
2013-04-22,0.9401
2013-04-22,0.5172
2013-04-22,0.5773
2013-04-22,0.3519
2013-04-23,0.8289
2013-05-06,0.9638
2013-05-13,0.9258
2013-05-15,0.9424
2013-05-28,0.9819
2013-05-29,0.6446
2013-05-31,0.7878
2013-06-03,0.915
2013-06-10,0.9434
2013-06-17,0.1729
2013-06-25,0.8285
2013-07-22,0.7005
2013-07-23,0.8448
2013-09-23,0.8835
2013-10-01,0.8387
2013-10-01,0.6888
2013-10-21,0.8473
2013-10-21,0.0068
2013-10-22,0.7555
2013-10-22,0.5915
2013-12-27,0.6602
2014-01-07,0.483
2014-01-15,0.2708
2014-01-21,0.2699
2014-01-22,0.0306
2014-01-22,0.0356
2014-01-23,0.76
2014-04-21,0.7612
2014-04-22,0.8273
2014-04-23,0.6886
2014-05-12,0.5771
2014-07-16,0.7798
2014-07-21,-0.1439
2014-07-21,-0.0045
2014-07-22,0.3617
2014-09-16,0.9305
2014-10-15,0.1285
2014-10-15,-0.0193
2014-10-16,-0.0433
2014-11-25,-0.2246
2014-12-02,0.5435
2015-01-02,0.4489
2015-01-20,-0.2468
2015-01-20,0.0068
2015-01-21,0.372
2015-02-04,0.2547
2015-03-09,0.3074
2015-03-24,0.2236
2015-04-10,0.1252
2015-04-15,0.544
2015-04-15,0.453
2015-04-15,0.0068
2015-04-16,0.1887
2015-05-05,0.5534
2015-05-19,0.8675
2015-06-03,0.345
2015-06-10,0.8376
2015-06-22,0.6496
2015-06-23,0.2638
2015-06-25,-0.0684
2015-07-15,-0.216
2015-07-16,0.4618
2015-08-20,-0.0817
2015-08-21,0.3793
2015-08-24,-0.5036
2015-08-25,0.8892
2015-08-26,0.7717
2015-09-01,0.1564
2015-09-01,0.6942
2015-09-24,0.2164
2015-10-08,0.7974
2015-10-14,-0.3954
2015-11-13,-0.218
2015-11-17,0.8168
2015-12-07,0.8139
2016-01-04,-0.1323
2016-01-06,0.8397
2016-01-13,-0.4774
2016-01-19,0.0211
2016-01-19,0.0068
2016-01-19,0.5044
2016-01-21,0.7055
2016-02-01,0.763
2016-02-02,-0.2391
2016-02-12,-0.1949
2016-02-29,-0.1449
2016-04-18,-0.2543
2016-04-19,0.0445
2016-05-26,0.5759
2016-06-13,-0.3242
2016-06-28,0.9729
2016-07-01,0.7363
2016-07-06,-0.5449
2016-07-11,0.7084
2016-07-18,0.6099
2016-07-19,-0.2548
2016-07-26,0.5943
2016-09-13,0.5748
2016-09-21,0.093
2016-10-03,0.6036
2016-10-05,0.7136
2016-10-10,0.3615
2016-10-17,-0.3501
2016-10-17,0.0068
2016-10-18,0.6614
2016-11-09,-0.5218
2016-11-17,-0.1989
2017-01-12,0.4744
2017-01-13,0.0115
2017-01-17,0.2988
2017-01-18,-0.3007
2017-01-18,0.0068
2017-01-18,0.6846
2017-01-19,0.9465
2017-02-08,0.6445
2017-03-06,0.8309
2017-03-17,0.5834
2017-04-17,0.2659
2017-04-18,0.9349
2017-05-25,0.8931
2017-06-12,0.2054
2017-06-15,0.483
2017-06-21,0.6463
2017-07-05,-0.2674
2017-07-17,0.6461
2017-07-17,0.793
2017-07-17,-0.2201
2017-07-18,0.7326
2017-07-27,0.1388
2017-08-09,0.3363
2017-08-30,-0.7767
2017-09-27,0.7281
2017-10-04,0.5323
2017-10-13,0.5324
2017-10-16,0.5553
2017-10-16,-0.2201
2018-01-02,0.7804
2018-01-05,0.1775
2018-01-11,0.7391
2018-01-22,0.5553
2018-01-22,-0.0045
2018-01-23,0.8245
2018-02-26,0.4791
2018-03-02,0.6406
2018-03-12,0.119
2018-03-12,0.4087
2018-04-12,0.0198
2018-04-16,-0.0069
2018-04-16,0.526
2018-04-16,0.0068
2018-06-04,0.12
2018-06-15,0.4229
2018-06-19,0.2446
2018-06-25,-0.1685
2018-06-26,0.8225
2018-06-27,0.4917
2018-07-05,0.5188
2018-07-13,-0.3679
2018-07-16,0.5773
2018-07-17,0.299
2018-07-17,-0.0283
2018-07-30,-0.0055
2018-08-24,0.3238
2018-09-05,-0.3097
2018-09-19,0.4264
2018-10-01,0.3322
2018-10-10,0.4868
2018-10-10,0.4141
2018-10-10,0.5985
2018-10-16,0.906
2018-10-16,0.0068
2018-10-22,-0.3872
2018-10-29,-0.3022
2018-12-11,-0.1571
2018-12-18,0.2144
