date,sentiment_lex
2011-05-25,0.7853
2011-06-03,0.8322
2011-07-20,0.8161
2011-08-12,-0.099
2011-09-21,0.9711
2011-09-22,0.8198
2011-10-28,0.8163
2011-11-03,0.8452
2011-11-22,0.8176
2012-01-13,0.5041
2012-01-13,-0.2889
2012-01-17,0.7922
2012-02-10,0.0352
2012-03-22,0.3039
2012-03-26,0.8961
2012-04-03,0.8886
2012-04-09,0.6875
2012-05-09,0.7779
2012-06-06,0.6112
2012-06-18,0.8092
2012-06-20,0.8889
2012-06-26,0.5006
2012-07-09,0.9289
2012-07-17,0.89
2012-07-18,0.231
2012-07-18,0.5882
2012-07-25,0.8169
2012-07-25,0.6786
2012-08-07,0.8921
2012-09-10,-0.3299
2012-09-17,0.794
2012-09-17,0.1103
2012-09-21,0.5906
2012-09-24,0.9026
2012-09-25,0.3037
2012-09-25,0.9049
2012-09-25,0.6958
2012-10-03,0.7352
2012-11-05,0.9353
2012-11-23,0.5849
2012-11-30,0.2177
2012-12-04,0.7635
2012-12-13,0.9059
2012-12-13,0.944
2012-12-13,0.9192
2013-01-03,0.9081
2013-01-07,0.8373
2013-01-18,0.9239
2013-02-11,0.8394
2013-02-11,0.9554
2013-02-11,0.4564
2013-02-19,0.8189
2013-02-20,0.8711
2013-02-21,0.9245
2013-02-21,0.0446
2013-03-06,0.2458
2013-03-07,0.3183
2013-03-25,0.8704
2013-03-26,0.9675
2013-04-01,0.6944
2013-04-01,0.9231
2013-04-01,0.8695
2013-04-11,0.7584
2013-04-16,0.8731
2013-04-23,0.7945
2013-04-25,0.8292
2013-04-26,0.951
2013-04-29,0.8866
2013-05-06,0.93
2013-05-08,-0.3354
2013-05-08,0.9562
2013-05-08,0.9117
2013-05-10,0.7175
2013-05-13,0.3577
2013-05-13,0.8525
2013-05-13,0.9423
2013-05-13,0.801
2013-05-14,0.8226
2013-05-14,0.973
2013-05-14,0.9345
2013-05-15,0.7686
2013-05-16,0.9382
2013-05-17,0.8237
2013-05-17,0.9424
2013-05-21,0.2345
2013-05-29,0.8789
2013-06-03,0.9551
2013-06-03,0.1914
2013-06-03,0.9808
2013-06-07,0.9052
2013-06-10,0.9689
2013-06-11,0.8101
2013-06-12,0.8215
2013-06-17,0.9535
2013-06-18,0.8467
2013-06-18,0.3381
2013-06-19,-0.4407
2013-06-21,-0.329
2013-06-25,0.9322
2013-07-01,0.8552
2013-07-02,0.791
2013-07-05,0.4138
2013-07-09,0.7089
2013-07-15,0.6115
2013-07-16,0.9283
2013-07-16,0.7149
2013-07-17,0.4198
2013-07-26,0.9541
2013-07-29,0.3494
2013-08-07,-0.1376
2013-08-07,-0.4894
2013-08-07,0.4015
2013-08-12,0.5242
2013-08-29,0.9434
2013-09-05,0.8115
2013-09-10,0.9437
2013-09-12,0.2837
2013-09-16,0.7258
2013-09-17,0.3737
2013-10-02,0.3617
2013-10-03,0.0882
2013-10-11,0.839
2013-10-15,0.4902
2013-10-16,0.2453
2013-10-21,0.114
2013-10-25,-0.2548
2013-11-05,0.2727
2013-11-05,0.0272
2013-11-05,-0.4471
2013-11-05,0.0068
2013-11-06,0.876
2013-11-06,-0.2193
2013-11-07,0.8274
2013-11-07,-0.3702
2013-11-08,-0.7279
2013-11-14,0.5098
2013-11-14,0.859
2013-11-18,-0.3004
2013-11-19,0.8954
2013-11-19,-0.0223
2013-11-21,0.5427
2013-12-03,0.734
2013-12-05,0.8929
2014-01-06,0.8578
2014-01-09,-0.0331
2014-01-09,0.5851
2014-01-14,0.0196
2014-01-15,0.7486
2014-01-15,0.4892
2014-01-16,0.845
2014-01-22,0.4177
2014-02-10,0.5952
2014-02-11,0.5611
2014-02-18,0.8944
2014-02-19,0.1737
2014-02-19,0.0068
2014-02-19,-0.2737
2014-02-24,0.798
2014-02-25,0.5665
2014-02-25,0.6276
2014-02-26,0.7503
2014-02-26,0.028
2014-02-26,0.8817
2014-02-27,0.6431
2014-03-03,0.1934
2014-03-11,0.3621
2014-03-12,0.804
2014-03-18,0.0068
2014-03-18,0.1059
2014-03-28,0.6996
2014-03-28,0.0726
2014-04-04,0.8316
2014-04-04,0.8768
2014-04-17,0.824
2014-05-01,0.4294
2014-05-07,0.8099
2014-05-07,0.2419
2014-05-08,-0.0821
2014-06-05,0.6483
2014-06-12,0.3907
2014-06-16,0.6949
2014-06-17,0.7595
2014-07-02,0.86
2014-07-07,-0.1691
2014-07-07,-0.7664
2014-07-14,-0.0779
2014-07-31,0.2417
2014-08-08,0.521
2014-08-11,0.5239
2014-08-29,0.6935
2014-09-02,0.1398
2014-09-15,0.2043
2014-09-17,0.6858
2014-09-19,0.0524
2014-09-22,0.1028
2014-09-23,0.3236
2014-09-24,0.8447
2014-09-25,0.5964
2014-09-29,0.8499
2014-10-02,0.685
2014-10-10,0.7484
2014-10-10,-0.3097
2014-10-13,-0.4703
2014-10-15,0.3821
2014-10-21,0.3111
2014-10-27,0.4652
2014-10-28,0.4933
2014-11-05,-0.0801
2014-11-05,0.0068
2014-11-05,-0.0092
2014-11-20,0.6856
2014-12-01,-0.3333
2014-12-05,-0.8279
2014-12-11,0.808
2014-12-12,0.4043
2014-12-17,0.5326
2014-12-18,0.6684
2014-12-30,0.7929
2015-01-02,0.1888
2015-01-08,0.9066
2015-01-13,0.2857
2015-01-14,0.8311
2015-01-14,-0.017
2015-01-15,-0.4922
2015-02-06,0.4677
2015-02-11,0.0693
2015-02-18,-0.2004
2015-02-23,0.2891
2015-02-26,0.3371
2015-03-02,0.0073
2015-03-05,0.7742
2015-03-06,0.2665
2015-03-10,-0.2528
2015-03-19,0.7202
2015-03-25,-0.3871
2015-03-30,0.1898
2015-03-30,0.8128
2015-04-06,0.7351
2015-04-09,0.6682
2015-04-14,0.4805
2015-04-22,0.825
2015-04-27,0.7787
2015-05-01,0.7107
2015-05-04,0.8228
2015-05-05,0.8319
2015-05-06,-0.4953
2015-05-06,0.0068
2015-06-16,0.6707
2015-06-17,0.0637
2015-06-29,0.7441
2015-07-02,0.7822
2015-07-07,0.4377
2015-07-08,0.8244
2015-07-08,0.5861
2015-07-10,0.6659
2015-07-20,0.2902
2015-07-21,0.1283
2015-07-24,0.4291
2015-08-06,0.8103
2015-08-12,0.4023
2015-08-13,0.8069
2015-08-13,0.6876
2015-08-17,0.9486
2015-08-17,0.6587
2015-08-21,0.2423
2015-08-24,0.2767
2015-08-24,-0.7905
2015-09-01,0.6398
2015-09-02,-0.116
2015-09-21,0.1691
2015-09-24,0.8933
2015-10-16,-0.3211
2015-10-19,0.7316
2015-10-20,-0.2541
2015-10-29,0.1444
2015-11-03,0.4836
2015-11-03,-0.2201
2015-11-06,0.8516
2015-11-18,0.885
2015-11-20,0.1043
2015-11-24,0.3631
2015-11-25,0.9219
2015-12-02,0.4893
2015-12-03,0.9629
2015-12-14,0.8136
2015-12-15,0.8386
2015-12-16,0.9551
2015-12-16,0.7323
2015-12-17,0.6567
2015-12-17,0.8762
2015-12-22,0.736
2016-01-11,0.0929
2016-01-14,0.7537
2016-01-19,-0.271
2016-01-20,0.1411
2016-01-22,0.5643
2016-01-28,0.916
2016-01-28,0.6694
2016-02-01,-0.0888
2016-02-08,0.7711
2016-02-08,0.7101
2016-02-09,0.1641
2016-02-09,0.0068
2016-02-10,-0.1087
2016-02-10,-0.2201
2016-02-11,0.6578
2016-02-17,0.7952
2016-02-24,0.7678
2016-03-01,0.2881
2016-03-03,0.8259
2016-03-14,0.299
2016-03-21,0.5528
2016-03-23,0.2356
2016-03-29,0.0631
2016-04-01,0.4547
2016-04-04,-0.1751
2016-04-20,0.7725
2016-05-03,0.278
2016-05-03,0.4673
2016-05-04,-0.2479
2016-05-04,0.0068
2016-05-09,0.3325
2016-05-10,-0.4424
2016-05-18,0.7912
2016-05-18,0.2352
2016-05-23,0.7331
2016-06-06,0.965
2016-06-09,0.7367
2016-06-20,0.4254
2016-06-21,0.911
2016-06-21,0.8341
2016-06-22,-0.3399
2016-06-22,0.8475
2016-06-23,0.286
2016-06-30,-0.8507
2016-07-11,0.3477
2016-07-12,0.7172
2016-07-25,0.7944
2016-08-03,-0.2201
2016-08-04,0.4692
2016-08-15,-0.1634
2016-08-23,0.3441
2016-09-01,-0.1919
2016-09-09,0.1963
2016-09-13,0.2699
2016-10-03,0.5815
2016-10-06,0.4057
2016-10-18,0.6441
2016-10-20,0.1837
2016-10-24,0.7933
2016-10-26,0.6198
2016-10-26,0.0068
2016-10-27,0.2796
2016-11-04,0.8137
2016-11-07,0.572
2016-11-09,0.0068
2016-11-18,0.7238
2016-12-13,0.1573
2017-01-04,-0.0414
2017-01-04,0.4501
2017-01-13,0.8689
2017-01-19,-0.01
2017-02-09,0.6438
2017-02-16,-0.556
2017-02-22,0.6014
2017-02-22,0.3564
2017-02-22,-0.2201
2017-02-23,0.3277
2017-03-15,0.2766
2017-04-03,0.6428
2017-04-03,0.1476
2017-04-12,0.2269
2017-04-18,-0.0308
2017-04-20,0.3525
2017-04-28,0.2612
2017-05-03,0.8297
2017-05-03,-0.2201
2017-05-04,0.7521
2017-05-08,0.6521
2017-05-15,0.1355
2017-05-30,0.837
2017-06-09,0.8023
2017-06-13,0.3508
2017-06-13,0.2827
2017-06-19,0.4888
2017-06-26,0.4796
2017-07-05,0.0071
2017-07-05,0.5201
2017-07-06,0.664
2017-07-06,0.1459
2017-07-17,0.8782
2017-07-17,-0.012
2017-07-17,-0.2791
2017-07-24,0.723
2017-07-31,0.7684
2017-08-02,0.8209
2017-08-02,0.0068
2017-08-29,0.0369
2017-09-07,0.4949
2017-09-11,0.8603
2017-09-20,0.6959
2017-09-26,0.4734
2017-10-03,-0.5189
2017-10-23,0.8044
2017-10-27,-0.243
2017-10-27,0.5441
2017-11-01,0.0139
2017-11-14,0.6422
2017-12-01,0.1918
2018-01-04,0.141
2018-01-08,0.5358
2018-01-25,0.1969
2018-02-07,0.59
2018-02-08,0.076
2018-02-14,0.1749
2018-03-08,-0.3604
2018-03-12,0.3238
2018-03-19,-0.4014
2018-03-21,0.9493
2018-03-21,0.8404
2018-03-21,-0.0345
2018-03-27,-0.3644
2018-03-29,-0.356
2018-03-29,0.3147
2018-04-02,0.5631
2018-04-03,0.1312
2018-04-13,0.567
2018-04-17,0.5742
2018-05-02,0.3818
2018-05-02,0.0068
2018-05-25,-0.6008
2018-06-01,0.4333
2018-06-06,0.0
2018-06-12,-0.1139
2018-06-20,-0.6557
2018-06-26,0.7778
2018-07-02,0.5268
2018-07-02,0.7508
2018-07-03,0.5353
2018-07-03,-0.1976
2018-07-09,0.4938
2018-07-09,0.8081
2018-07-10,0.7665
2018-07-16,0.4019
2018-07-23,0.0637
2018-07-30,0.3071
2018-08-16,0.0445
2018-08-21,0.6057
2018-08-27,0.0175
2018-08-27,0.758
2018-08-27,0.2474
2018-09-04,0.1345
2018-09-05,0.8935
2018-09-06,0.1383
2018-09-07,0.4084
2018-09-07,-0.3321
2018-09-10,0.9027
2018-09-11,-0.0361
2018-09-12,0.1798
2018-09-18,0.6534
2018-09-20,0.762
2018-09-27,0.6188
2018-10-04,-0.7349
2018-10-04,0.5518
2018-10-04,0.2857
2018-10-04,0.7395
2018-10-05,-0.6055
2018-10-05,-0.1664
2018-10-23,0.388
2018-10-26,0.5621
2018-10-26,-0.0336
2018-11-12,-0.0883
2018-11-19,0.8588
2018-11-30,0.0476
2018-12-06,0.8649
2018-12-07,0.7857
2018-12-13,-0.5066
2018-12-13,0.3991
2018-12-18,0.3717
2018-12-24,0.6713
2018-12-26,0.605
